suburb,breed,type,colour,registered,age,animal_nam
 HERNE HILL ,Border Collie,Dog,Black/White,T,10,Roxy
 MANIFOLD HEIGHTS ,Domestic,Cat,Ginger/White,T,8,Henry
 MANIFOLD HEIGHTS ,Pug/Cross,Dog,Tri Colour,T,5,Leni
 HERNE HILL ,Maltese/Shih Tzu,Dog,Fawn/Cream,T,7,Reggie
 HERNE HILL ,Labrador/Retriever,Dog,Black,T,10,Ally
 GEELONG WEST ,Domestic Short Haired,Cat,Black/White,T,9,Tigga
 GEELONG WEST ,Domestic Short Haired,Cat,Ginger,F,9,Pippin
 GEELONG WEST ,Domestic,Cat,Tabby/White,F,2,Putsy
 GEELONG WEST ,Old Eng Sheepdog,Dog,White/Grey,T,2,Bella
 GEELONG WEST ,Jack Russell/Terrier,Dog,White/Tan,T,12,Jodey
 MANIFOLD HEIGHTS ,Maltese/Shih Tzu,Dog,Honey/Black,T,12,Rosie
 HERNE HILL ,Kelpie/Border Collie,Dog,Black/White,T,12,Shakira
 GEELONG WEST ,West Highland Terrier,Dog,White,T,13,Skipper
 HERNE HILL ,Domestic,Cat,Tri Colour,T,17,Sabrina
 MANIFOLD HEIGHTS ,Border Collie,Dog,Black/White,T,9,Jemma
 HERNE HILL ,Border Collie,Dog,Black/White,F,2,Jess
 GEELONG WEST ,Boxer,Dog,Red/White,T,2,Bijou
 GEELONG WEST ,Burmese,Cat,Brown,T,2,Leroy
 GEELONG WEST ,Domestic Short Haired,Cat,Black,T,4,Ruby
 HERNE HILL ,Shih Tzu,Dog,Cream/Tan,F,17,Coco
 MANIFOLD HEIGHTS ,Kelpie/Cross Breed Dog,Dog,Tan,T,10,Koby
 GEELONG WEST ,Burmese,Cat,Fawn/Brown,T,8,Monty
 HERNE HILL ,Staffordshire,Dog,Black,T,5,Ash
 HERNE HILL ,Domestic Long Haired,Cat,Grey,T,16,Phoebe
 HERNE HILL ,Retriever,Dog,Golden,T,13,Jarrah
 MANIFOLD HEIGHTS ,Domestic Long Haired,Cat,White/Black,F,2,Shiro
 GEELONG WEST ,Brittany,Dog,Brown/White,T,12,Becky
 HERNE HILL ,Whippet,Dog,Grey/Tan,F,15,Bo
 GEELONG WEST ,Fox Terrier/Jack Russell,Dog,Brown/Black,T,10,Bella
 HERNE HILL ,Maltese Cross,Dog,White/Tan,T,7,Bella
 HERNE HILL ,Labrador,Dog,Black,T,4,MISHA
 HERNE HILL ,Labrador,Dog,Golden,T,12,ARNI
 GEELONG WEST ,British/Short Haired,Cat,Black,T,1,Darcy
 GEELONG WEST ,Miniature/Fox Terrier,Dog,White/Brown,T,3,Popcorn
 NORTH GEELONG ,British/Short Haired,Cat,Blue,T,5,Socrates
 GEELONG WEST ,Koolie,Dog,Brindle/White,T,3,Kassie
 DRUMCONDRA ,American Staffordshire,Dog,Tan/White,T,5,Matilda
 HERNE HILL ,Staffordshire,Dog,Brindle/White,F,10,Diesel
 HERNE HILL ,Rottweiler,Dog,Black/Tan,F,12,BJ
 NORTH GEELONG ,Golden Retriever/Poodle (Groodle),Dog,White,T,8,Solo
 DRUMCONDRA ,Cairn Terrier,Dog,Wheaten,T,11,Haddie
 HERNE HILL ,Oriental,Cat,White/Grey,T,3,Lola
 GEELONG WEST ,Golden Retriever,Dog,Golden,F,15,Sasha
 GEELONG WEST ,Jack Russell/Cross,Dog,Black/Tan,F,16,Rolly
 MANIFOLD HEIGHTS ,Belgian Gronendale,Dog,Black,T,9,Jet
 HERNE HILL ,Golden Retriever,Dog,Golden,T,8,Hudson
 HERNE HILL ,Labrador,Dog,Chocolate,T,2,Alfie
 HERNE HILL ,Toy/Poodle,Dog,Black/White,T,9,Coco
 MANIFOLD HEIGHTS ,Maltese Cross,Dog,White,T,9,Buffy
 HERNE HILL ,Siberian Husky,Dog,Grey/ White,T,12,Jaya
 GEELONG WEST ,Jack Russell/Cross,Dog,Tri Colour,T,13,Millie
 GEELONG WEST ,Whippet,Dog,Brindle/White,T,0,Scout
 MANIFOLD HEIGHTS ,Labrador,Dog,Black,F,12,Louis
 NORTH GEELONG ,Toy/Poodle,Dog,Apricot,T,2,Harry
 HERNE HILL ,Fox Terrier,Dog,Tan/White,T,11,Missy
 GEELONG WEST ,Poodle/Maltese,Dog,Black,F,6,Sophie
 GEELONG WEST ,Pug,Dog,Fawn,T,12,Chewy
 GEELONG WEST ,Staffordshire/Bull Terrier,Dog,Black/White,T,6,Piper
 GEELONG WEST ,Borzoi,Dog,Brown/White,F,11,Ruby
 GEELONG WEST ,Domestic,Cat,Ginger,T,15,Elmo
 HERNE HILL ,Domestic Short Haired,Cat,Black/White,T,4,Sam
 GEELONG WEST ,Husky,Dog,Grey/ White,T,12,Kobe
 HERNE HILL ,Pug/Cross,Dog,Brown,T,12,Chloe
 NORTH GEELONG ,Domestic Short Haired,Cat,Black/White,F,6,Princess
 MANIFOLD HEIGHTS ,Domestic Short Haired,Cat,Black,T,5,Coco
 GEELONG WEST ,Jack Russell,Dog,Tan/White,T,9,Pebbles
 GEELONG WEST ,Domestic Short Haired,Cat,Tortishell/White,T,11,Elizabeth
 GEELONG WEST ,Domestic,Cat,Tabby/White,F,16,Bill
 GEELONG WEST ,Border Collie/Cross,Dog,Black/White,T,12,Woofgang
 GEELONG WEST ,Old Eng Sheepdog,Dog,Grey/ White,T,3,Buster
 GEELONG WEST ,Poodle,Dog,Silver,T,6,Allie
 HERNE HILL ,Domestic,Cat,Tabby/White,T,10,Minx
 GEELONG WEST ,Pug/Cross,Dog,Fawn/Black,T,6,Daisy
 MANIFOLD HEIGHTS ,Jack Russell,Dog,White/Tan,T,13,Jasmine
 HERNE HILL ,Irish Wolfhound/Cross,Dog,Black,F,6,Finn
 DRUMCONDRA ,Domestic,Cat,Tortishell/White,F,14,Mavis
 HERNE HILL ,Domestic Short Haired,Cat,Tortishell,F,4,Chester
 MANIFOLD HEIGHTS ,Jack Russell,Dog,Tan/White,T,10,Jack
 HERNE HILL ,Jack Russell/Fox Terrier,Dog,Tri Colour,T,7,Chaser
 MANIFOLD HEIGHTS ,Poodle,Dog,Champagne,F,6,Havana
 NORTH GEELONG ,Heeler,Dog,Tri Colour,F,1,Peppr
 HERNE HILL ,Domestic,Cat,Ginger/Tabby,T,9,Morgan
 GEELONG WEST ,Burmese,Cat,Lilac,F,11,Chilli
 MANIFOLD HEIGHTS ,Jack Russell/Fox Terrier,Dog,Tri Colour,T,10,Tiger
 GEELONG ,West Highland Terrier,Dog,White,T,14,Fergus
 HERNE HILL ,Poodle,Dog,Black,T,8,Beni
 GEELONG WEST ,British Bulldog,Dog,Tan/White,F,6,Chief
 MANIFOLD HEIGHTS ,Doberman,Dog,Tan,F,14,Jonte
 GEELONG WEST ,Domestic Short Haired,Cat,Tortishell,T,9,Princess
 HERNE HILL ,Maltese,Dog,White,T,8,Sunny
 MANIFOLD HEIGHTS ,Domestic Short Haired,Cat,Ginger/White,T,3,Pekoe
 MANIFOLD HEIGHTS ,Shih Tzu,Dog,Black/White,T,8,Rufus
 GEELONG WEST ,Maltese/Cavalier KC Spaniel,Dog,White/Apricot,T,7,Molli
 GEELONG WEST ,Border Collie,Dog,Black/White,T,1,Zoe
 DRUMCONDRA ,Domestic,Cat,Grey/Black,F,14,Ajax
 GEELONG WEST ,Domestic Short Haired,Cat,Grey/ White,F,17,Molly
 GEELONG WEST ,Chihuahua,Dog,Black/Tan,T,4,Mia
 GEELONG WEST ,Labrador Cross,Dog,Black,T,14,Bruiser
 GEELONG WEST ,Australian Silky/Terrier,Dog,Black/White,T,11,Molly
 NEWTOWN ,Australian Terrier/Maltese,Dog,Black/Grey,T,2,Chenaya
 EAST GEELONG ,Domestic,Cat,Black,T,4,Roy
 EAST GEELONG ,Jack Russell,Dog,White/Tan,T,10,DJ
 SOUTH GEELONG ,Kelpie/Chihuahua,Dog,Brown/Tan,T,13,Chino
 THOMSON ,Domestic Short Haired,Cat,Grey/ White,T,4,Smokey
 BREAKWATER ,German Shepherd,Dog,Black/Tan,F,10,Manny
 THOMSON ,Domestic Short Haired,Cat,Black/White,T,11,Jack
 THOMSON ,Burmese Cross,Cat,Brown,T,15,Miss Molly
 THOMSON ,Staffordshire/Boxer,Dog,Tri Colour,T,12,Max
 GEELONG ,Yorkshire Terrier,Dog,Black/Tan,T,5,Marjory
 EAST GEELONG ,Chihuahua,Dog,Brown/Black,T,6,Lucy
 GEELONG WEST ,Schnauzer,Dog,Pepper/Salt,T,4,Hank
 DRUMCONDRA ,Poodle,Dog,Grey,T,13,Suzie
 MANIFOLD HEIGHTS ,Collie/German Shepherd,Dog,Tri Colour,T,9,
 GEELONG ,Labrador Cross,Dog,Black/White,T,14,Jinks
 GEELONG ,Border Collie/Labrador,Dog,Black/White,T,3,Buddy
 GEELONG WEST ,Domestic Short Haired,Cat,Ginger,T,9,Archie
 DRUMCONDRA ,Kelpie/Cross,Dog,Black,T,10,Ebony
 MANIFOLD HEIGHTS ,Maltese/Shih Tzu,Dog,White/Brown,T,5,Buddy
 GEELONG WEST ,Domestic Short Haired,Cat,Tortishell/White,T,12,Lou Lou
 HERNE HILL ,Domestic,Cat,Black/White,T,3,Samuel
 SOUTH GEELONG ,Border Collie,Dog,Tri Colour,F,12,Tigger
 GEELONG WEST ,Border Collie,Dog,Black/White,F,13,Lilly
 THOMSON ,Staffordshire/Cross,Dog,Tan,F,2,Osca
 GEELONG WEST ,Italian Greyhound,Dog,Tan,T,11,REX
 THOMSON ,Border Collie,Dog,Black/White,T,11,Tiger Lily
 MANIFOLD HEIGHTS ,Briard/Short Haired,Cat,Black,F,4,GABBIE
 THOMSON ,Domestic,Cat,Ginger,F,19,Zak
 EAST GEELONG ,Domestic,Cat,Black,T,4,Ray
 EAST GEELONG ,Labrador/Poodle,Dog,Black,T,6,Tigger
 MANIFOLD HEIGHTS ,West Highland Terrier,Dog,White,T,10,Molly
 MANIFOLD HEIGHTS ,Labrador,Dog,Black,T,12,Elli
 GEELONG WEST ,Jack Russell/Cross,Dog,Tan/White,F,12,Molly
 HERNE HILL ,Staffordshire/Bull Terrier,Dog,Brindle,F,4,Kenny
 GEELONG ,Kelpie,Dog,Black/White,T,15,Tessa
 MANIFOLD HEIGHTS ,English Staffordshire,Dog,Black,T,10,Misty
 DRUMCONDRA ,Whippet,Dog,White/Brown,T,9,Sunny
 GEELONG WEST ,Cockerspaniel,Dog,Gold/White,T,3,Dao Dao
 HERNE HILL ,Bichon Frise/Cross,Dog,Red,T,2,Coco
 HERNE HILL ,Jack Russell/Corgi,Dog,Tan/White,T,9,Basil
 MANIFOLD HEIGHTS ,Chow Chow,Dog,Cream,T,1,Suds
 GEELONG WEST ,Burmese/Persian,Cat,Black/White,T,5,Evie Grace Vass
 NORTH GEELONG ,Retriever/Cross,Dog,Black,T,8,Ouzo
 MANIFOLD HEIGHTS ,Shih Tzu/Cross,Dog,Tan/White,T,4,Cliffy
 SOUTH GEELONG ,Staffordshire,Dog,Tan,T,9,Zoe
 GEELONG WEST ,Jack Russell/Cross,Dog,Tri Colour,T,11,Reggie
 MANIFOLD HEIGHTS ,Red Heeler/Border Collie,Dog,Golden,T,4,Belle
 MANIFOLD HEIGHTS ,Retriever,Dog,Golden,T,14,Walter
 HERNE HILL ,Beagle/Cross,Dog,Brown/White,T,1,Barney
 GEELONG ,Domestic Long Haired,Cat,Charcoal,F,9,THOMAS
 MANIFOLD HEIGHTS ,Fox Terrier,Dog,Tri Colour,T,5,Lily
 SOUTH GEELONG ,Beagle,Dog,Black/Tan,T,11,Hutch
 GEELONG WEST ,Domestic Long Haired,Cat,Black,T,6,Monte
 GEELONG WEST ,Groodle,Dog,Golden,F,3,Jax
 THOMSON ,Fox Terrier,Dog,Black/White,T,3,Tommy
 EAST GEELONG ,Labrador,Dog,Golden,F,11,Sam
 NEWTOWN ,Labrador,Dog,Brown,T,6,Wilma
 GEELONG WEST ,Pug,Dog,Fawn,T,1,Delilah
 MANIFOLD HEIGHTS ,Great Dane,Dog,Blue,T,2,Indie
 MANIFOLD HEIGHTS ,Bichon Frise,Dog,White,T,11,Toby
 DRUMCONDRA ,Spoodle,Dog,White,F,4,Luigi
 SOUTH GEELONG ,New Zealand Huntaway,Dog,Black/White,F,10,Hope
 HERNE HILL ,Cockerspaniel,Dog,Black/Tan,F,9,Daisy
 MANIFOLD HEIGHTS ,Labrador,Dog,White,F,7,Pipi
 GEELONG WEST ,Beagle,Dog,Tri Colour,T,4,LILLY
 GEELONG WEST ,Maltese/Jack Russell,Dog,Tan/White,T,7,Georgie
 GEELONG WEST ,Staffordshire,Dog,White/Black,F,6,Lucy
 MANIFOLD HEIGHTS ,Domestic,Cat,Ginger/White,T,10,Merri
 THOMSON ,Domestic,Cat,Tabby,T,10,Milly
 THOMSON ,Domestic,Cat,Tortishell,F,4,Lucky
 BREAKWATER ,Hungarian Vizsla,Dog,Tan,T,10,Mia
 BREAKWATER ,Boxer,Dog,Brindle,T,5,Jack
 GEELONG ,Schnauzer,Dog,Pepper/Salt,T,11,Ralf
 THOMSON ,Domestic Short Haired,Cat,White/Ginger,T,4,Deakin
 THOMSON ,Pomeranian Cross,Dog,Sable,T,12,Billy
 BREAKWATER ,Corgi,Dog,Red/White,T,4,Ruby
 NEWTOWN ,Jack Russell,Dog,White/Tan,T,2,Chloe
 RIPPLESIDE ,German Shepherd,Dog,Black/Tan,T,11,Bella
 BREAKWATER ,Silky Terrier/Shih Tzu,Dog,White/Brown,T,11,Princess
 THOMSON ,Siamese/Burmese,Cat,Black/Brown,T,14,Pepe Le Peu
 BREAKWATER ,Maltese,Dog,White,T,11,Mandy
 EAST GEELONG ,Cavoodle,Dog,White/Apricot,T,4,Max
 EAST GEELONG ,Poodle,Dog,Black,T,16,Gary
 SOUTH GEELONG ,Jack Russell,Dog,Tan/White,T,0,Zolie
 EAST GEELONG ,Kelpie/Cross,Dog,Black/Tan,T,13,Indi
 EAST GEELONG ,Maltese/Shih Tzu,Dog,Cream,T,5,Marley
 GEELONG ,Domestic Short Haired,Cat,Tabby,F,5,Lola
 EAST GEELONG ,Border Collie,Dog,Black/White,T,10,Ernie
 EAST GEELONG ,Retriever/Curly Haired,Dog,Red,T,0,Malcolm
 GEELONG ,Domestic,Cat,Tabby,T,7,Cinco
 EAST GEELONG ,Kelpie/Cross,Dog,Tri Colour,T,12,Villi
 GEELONG ,Domestic Short Haired,Cat,Ginger/White,T,9,Harvi
 EAST GEELONG ,Domestic,Cat,Tortishell,T,1,Tiger
 THOMSON ,Domestic Short Haired,Cat,Grey/ White,T,15,Sparrow
 EAST GEELONG ,Chihuahua,Dog,Brown,T,6,Leroy
 THOMSON ,Pomeranian,Dog,Sable,T,9,Jazzy
 THOMSON ,Maltese/Shih Tzu,Dog,Sable,F,4,Polly
 EAST GEELONG ,Domestic Short Haired,Cat,Tabby,T,5,Daisy
 EAST GEELONG ,Border Collie,Dog,Black/White,T,4,Maggie
 EAST GEELONG ,Domestic,Cat,Sable/White,F,3,Greg
 EAST GEELONG ,Border Collie,Dog,Chocolate/White,T,10,Quami
 THOMSON ,West Highland Terrier/Cross,Dog,White/Black,F,2,Jock
 GEELONG ,Smithfield,Dog,Tri Colour,F,2,River
 GEELONG WEST ,Toy/Poodle,Dog,Champagne,T,8,Oliver
 SOUTH GEELONG ,Dachshund/Cross,Dog,Sable,T,6,Biff
 BREAKWATER ,Schipperke,Dog,Black,T,8,Toby
 EAST GEELONG ,Toy/Poodle,Dog,Black,T,7,Max
 SOUTH GEELONG ,Ragdoll,Cat,Tri Colour,T,3,Sapphire
 BREAKWATER ,Labrador,Dog,Chocolate,T,4,Myka
 EAST GEELONG ,Cavalier KC Spaniel,Dog,Black/Tan,T,8,Charlie
 THOMSON ,Chihuahua/Cross,Dog,Black/Tan,T,3,Benjamin
 THOMSON ,Maltese Cross,Dog,White,T,12,Ella
 EAST GEELONG ,Maltese Cross,Dog,Black/White,T,4,Maggie
 THOMSON ,Fox Terrier/Cross,Dog,Black/White,F,1,Maggie
 GEELONG ,Labrador,Dog,Golden,T,7,Maudie
 GEELONG ,Chow Chow,Dog,Cream,T,2,Smith
 SOUTH GEELONG ,Heeler/Cross,Dog,Red/Tan,F,8,Penny
 THOMSON ,Devon Rex,Cat,Champagne,F,4,Lushka
 BREAKWATER ,Chihuahua/Cross,Dog,Cream,T,6,Reba
 THOMSON ,Kelpie,Dog,Black/Tan,F,11,Ky
 THOMSON ,Kelpie,Dog,Chocolate/Beige,F,10,Cocoa
 THOMSON ,Staffordshire,Dog,Brindle,T,3,Jax
 GEELONG ,Blue Heeler,Dog,Blue/Black,T,2,Stella
 THOMSON ,Labrador,Dog,Black,T,5,Willow
 THOMSON ,Labrador,Dog,Chocolate,T,11,Ricky
 THOMSON ,Labrador/Kelpie,Dog,Black/Tan,T,4,Ruby
 NORTH GEELONG ,Labrador,Dog,Golden,T,11,Jaz
 EAST GEELONG ,Miniature/Fox Terrier,Dog,Tri Colour,F,4,Sooner
 BREAKWATER ,Domestic Long Haired,Cat,Ginger/White,T,10,Lewis
 GEELONG ,Ridgeback,Dog,Red,T,10,Billy
 GEELONG ,Beagle,Dog,Tri Colour,F,3,Gidget
 SOUTH GEELONG ,Jack Russell/Cross,Dog,Tan/Black,F,15,Geommet
 EAST GEELONG ,Ragdoll,Cat,White/Grey,T,5,Missy
 EAST GEELONG ,Jack Russell/Cross,Dog,Brown/White,T,10,Jessie
 EAST GEELONG ,Retriever/Cross,Dog,Black,F,13,Mandy
 EAST GEELONG ,Cavalier KC Spaniel,Dog,Ruby,T,6,Charlie
 EAST GEELONG ,Bichon Frise/Cross,Dog,Cream/Apricot,T,4,Oska
 EAST GEELONG ,Jack Russell/Cross,Dog,Tri Colour,T,11,Lewis
 EAST GEELONG ,Maltese/Poodle,Dog,White,T,8,Max
 NEWTOWN ,Golden Retriever,Dog,Golden,F,3,Pippa
 THOMSON ,Miniature/Fox Terrier,Dog,Tri Colour,T,5,Buddy
 EAST GEELONG ,Golden Retriever,Dog,Golden,T,9,Hector
 EAST GEELONG ,Golden Retriever/Retriever,Dog,Golden,T,2,Henry
 THOMSON ,Labrador,Dog,Brown,F,11,Mocha
 EAST GEELONG ,Labrador/Staffordshire,Dog,Black/White,T,2,Tiger
 BREAKWATER ,Staffordshire/Bull Terrier,Dog,Black/White,T,11,Charlie
 BREAKWATER ,Kelpie,Dog,Cream,T,8,Daisie
 GEELONG ,Shih Tzu/Maltese,Dog,White,T,15,Lady
 EAST GEELONG ,Heeler/Cross,Dog,Black/Tan,F,2,Bailey
 GEELONG ,British,Cat,Blue,T,6,BUDDY
 GEELONG ,Staffordshire,Dog,Brindle,F,7,Shyra
 EAST GEELONG ,Shih Tzu/Maltese,Dog,Tri Colour,T,2,Cohen
 EAST GEELONG ,Shih Tzu/Maltese,Dog,Tri Colour,T,2,Charles Winston
 EAST GEELONG ,Jack Russell/Cross,Dog,White,T,12,Pepper
 EAST GEELONG ,Labrador,Dog,Brown,T,6,Barney
 EAST GEELONG ,Shih Tzu/Cross,Dog,Tri Colour,T,2,Diego
 THOMSON ,Pomeranian,Dog,Red,F,9,Molly
 THOMSON ,Labrador Cross,Dog,Brown/White,T,3,Violet
 SOUTH GEELONG ,Pomeranian Cross,Dog,Gold/White,T,13,Angel
 SOUTH GEELONG ,Fox Terrier/Maltese,Dog,White/Black,T,12,Tiny
 EAST GEELONG ,Maltese/Shih Tzu,Dog,White/Beige,T,16,Rupert
 BREAKWATER ,Jack Russell,Dog,Brown/White,T,1,Archie
 EAST GEELONG ,Husky/Cross,Dog,Tan/White,T,8,Strider
 BREAKWATER ,Domestic,Cat,Tabby/White,T,11,Kcee
 GEELONG ,Jack Russell/Terrier,Dog,White/Tan,F,4,ALICE
 GEELONG ,Jack Russell,Dog,White/Tan,T,2,Lavendar
 SOUTH GEELONG ,Maltese/Shih Tzu,Dog,Black/White,T,13,Jed
 GEELONG ,Domestic Short Haired,Cat,Tabby,T,19,Charlie
 EAST GEELONG ,Japanese Chin,Dog,Black/White,T,7,Skoda
 EAST GEELONG ,Jack Russell,Dog,White/Brown,T,13,Penny
 THOMSON ,Domestic Short Haired,Cat,Grey/ White,T,12,Bonnie
 GEELONG ,Staffordshire/Terrier,Dog,Brindle/White,T,5,Steve
 GEELONG ,Jack Russell/Terrier,Dog,White/Tan,T,,Foggy
 GEELONG ,Jack Russell,Dog,Tan/White,T,2,Grumpy
 EAST GEELONG ,Japanese Chin,Dog,White/Black,T,5,Zoey
 RIPPLESIDE ,Italian Greyhound,Dog,Fawn,T,8,Eddie
 EAST GEELONG ,Kelpie/Cross,Dog,Tan/White,F,13,Maggie
 RIPPLESIDE ,Schnauzer,Dog,Silver,F,6,Oscar
 GEELONG ,Maltese/Shih Tzu,Dog,Black/White,F,15,Macey
 GEELONG ,English Pointer,Dog,White/Tan,T,8,Lily
 THOMSON ,Domestic Short Haired,Cat,Tortishell,T,5,Soxs
 THOMSON ,Chihuahua,Dog,Golden,T,8,Pedro
 EAST GEELONG ,Staffordshire/Terrier,Dog,Red/Tan,T,11,Bailey
 BREAKWATER ,Siberian Husky/Cross,Dog,Grey/ White,T,5,Hutch
 EAST GEELONG ,Burmese Cross,Cat,Lilac/White,T,9,George
 EAST GEELONG ,Domestic,Cat,Ginger/White,T,4,Max
 EAST GEELONG ,Domestic,Cat,Black/White,T,4,Felix
 GEELONG ,Labrador Cross,Dog,Black,T,9,Gypsy
 EAST GEELONG ,West Highland Terrier,Dog,White,T,3,Brian
 BREAKWATER ,Domestic,Cat,Tabby,T,,Buffy
 GEELONG ,Staffordshire/Cross,Dog,White/Brindle,T,3,Buddy
 GEELONG ,Border Collie,Dog,Black/White,F,1,Maggie
 EAST GEELONG ,Shih Tzu/Cross,Dog,Tri Colour,T,,Eli
 BREAKWATER ,Cavalier KC Spaniel,Dog,Black/Tan,F,12,Duke
 BREAKWATER ,Labrador,Dog,Golden,F,9,Bo-Daisy
 BREAKWATER ,Blue Heeler,Dog,Blue,T,5,Bulldozer
 GEELONG ,Golden Retriever,Dog,Gold/Cream,F,8,Ned
 GEELONG ,Terrier,Dog,Grey/ White,T,2,Bonnie
 GEELONG ,Staffordshire,Dog,Tan/White,T,6,Chili
 EAST GEELONG ,Cairn Terrier,Dog,Tan,T,10,Tully
 EAST GEELONG ,Domestic Long Haired,Cat,Ginger,T,12,Toby
 GEELONG ,Spoodle,Dog,Chocolate,T,5,Dakota
 GEELONG ,Persian,Cat,Grey,F,12,Binka
 THOMSON ,Poodle/Maltese,Dog,Black/White,T,1,Poppy White
 EAST GEELONG ,Poodle/Cross,Dog,Ruby,T,5,Rosie
 EAST GEELONG ,Groodle,Dog,Black,T,5,Radley
 EAST GEELONG ,Heeler/Cross,Dog,Grey/Black,F,14,Sohie
 EAST GEELONG ,Cavalier KC Spaniel,Dog,White/Brown,T,11,Toby
 EAST GEELONG ,Australian Silky,Dog,Tri Colour,T,8,Millie
 EAST GEELONG ,Golden Retriever,Dog,White/Gold,T,8,Sen
 GEELONG ,Domestic,Cat,White/Black,T,6,Lizzy
 THOMSON ,Domestic Short Haired,Cat,Tabby,T,1,Starlette
 EAST GEELONG ,Domestic,Cat,Tortishell,T,9,Sheba
 EAST GEELONG ,Greyhound,Dog,Blue/Brindle,T,6,Billy
 GEELONG ,Cavoodle,Dog,Ginger/White,F,6,Chiva
 GEELONG ,Border Collie,Dog,Black/White,T,8,Herbert
 EAST GEELONG ,Domestic,Cat,Grey/Tabby,F,9,Maui
 GEELONG ,Maltese/Shih Tzu,Dog,Tri Colour,T,10,Teddy
 EAST GEELONG ,German Shepherd,Dog,Black/Tan,T,11,KAOS
 BREAKWATER ,Maltese,Dog,White,T,10,Holly
 BREAKWATER ,Mastiff,Dog,Golden,T,,Chloe
 GEELONG ,Pomeranian Cross,Dog,Brown/Black,T,12,Harvey
 GEELONG ,Poodle/Shih Tzu,Dog,White,T,11,Bobby
 EAST GEELONG ,Domestic,Cat,Tabby,T,1,Nephthys
 EAST GEELONG ,Border Collie/Cross,Dog,Black/White,F,3,Keisha
 EAST GEELONG ,Labrador/Border Collie,Dog,Black/White,T,4,Jack
 THOMSON ,Border Collie,Dog,Black/White,T,7,Chetah
 EAST GEELONG ,Jack Russell,Dog,White/Tan,T,11,Gypsy
 GEELONG ,Cavalier KC Spaniel/Poodle,Dog,Apricot,T,1,Bobby
 EAST GEELONG ,Domestic,Cat,Tortishell,T,5,Charlotte
 THOMSON ,Domestic,Cat,Ginger/White,T,12,Henry
 THOMSON ,Staffordshire/Cross,Dog,Brindle,F,7,Molly
 RIPPLESIDE ,Maltese/Shih Tzu,Dog,Cream/Honey,T,8,George
 RIPPLESIDE ,Jack Russell,Dog,White/Tan,T,9,Lila Belle
 RIPPLESIDE ,Domestic,Cat,White/Grey,F,1,Albert
 GEELONG ,Silky Terrier,Dog,Fawn,T,9,Millie
 GEELONG ,Australian Terrier,Dog,Red,T,6,Maisy
 GEELONG ,Jack Russell,Dog,Brown/Tan,T,0,Nitro
 EAST GEELONG ,Domestic Short Haired,Cat,White/Tortishell,T,10,Kit
 GEELONG ,Schnauzer,Dog,Pepper/Salt,T,,Doogie
 EAST GEELONG ,Jack Russell/Terrier,Dog,Tan/White,T,7,Ollie
 EAST GEELONG ,Border Collie/Cross,Dog,Tri Colour,T,6,Scout
 GEELONG ,Domestic Short Haired,Cat,Ginger,T,6,Bee
 EAST GEELONG ,Domestic Short Haired,Cat,Tabby,T,3,Lottie
 MANIFOLD HEIGHTS ,Shih Tzu/Silky Terrier,Dog,Silver/Grey,T,11,Oscar
 EAST GEELONG ,Domestic Short Haired,Cat,Black/White,T,4,RIBBON
 EAST GEELONG ,Kelpie,Dog,Brown/Tan,T,8,Dusty
 BREAKWATER ,Fox Terrier,Dog,Black/White,T,3,Jimmy
 GEELONG ,Chihuahua/Pomeranian,Dog,Cream/White,T,9,Mischa
 GEELONG ,Domestic Long Haired,Cat,Grey/Black,T,10,Darling
 EAST GEELONG ,Miniature/Fox Terrier,Dog,White/Black,T,10,Jess
 EAST GEELONG ,Kelpie,Dog,Black/White,T,14,Toby
 GEELONG ,Golden Retriever,Dog,Golden,F,11,Harvey
 GEELONG ,Beagle/Cross,Dog,Tri Colour,F,5,Murphy
 GEELONG ,Maltese Cross,Dog,White,T,12,Benji
 BREAKWATER ,Miniature/Fox Terrier,Dog,White/Brown,F,12,Barney
 EAST GEELONG ,Kelpie,Dog,Black/Tan,T,3,Bella
 EAST GEELONG ,German Shepherd/Kelpie,Dog,Tan/Black,T,3,Ziggy
 BREAKWATER ,Cairn Terrier,Dog,Red/Brindle,T,7,Monty
 EAST GEELONG ,Fox Terrier,Dog,Sandy,T,8,Molly
 GEELONG ,Ragdoll,Cat,Blue,T,12,Angel
 BREAKWATER ,Silky Terrier/Cross,Dog,Tan/White,T,6,Binga
 GEELONG ,Blue Heeler/Cross,Dog,Blue,T,11,Basil
 EAST GEELONG ,Domestic,Cat,Tortishell,T,14,Casper
 GEELONG ,Maltese/Shih Tzu,Dog,Chocolate,T,10,Sam
 GEELONG ,Kelpie/Cross,Dog,Tri Colour,T,12,Harriet
 BREAKWATER ,Pomeranian/Fox Terrier,Dog,Brown,T,13,Kelly
 GEELONG ,Jack Russell,Dog,Brown,T,13,Henry
 GEELONG ,Persian Cross,Cat,Tortishell/White,T,11,Isabella
 GEELONG ,Border Collie,Dog,Black/White,T,6,Harvey
 EAST GEELONG ,Terrier/Cross,Dog,Grey,T,14,Darcy
 THOMSON ,Jack Russell,Dog,White/Brown,T,3,Pippa
 GEELONG ,Maltese/Shih Tzu,Dog,Tri Colour,T,10,Elliott
 EAST GEELONG ,Domestic Short Haired,Cat,White,T,5,Alice
 GEELONG ,Staffordshire/Cross,Dog,Black/White,T,6,Nero
