suburb,breed,type,colour,registered,age,animal_nam
 HIGHTON ,Maltese/Shih Tzu,Dog,Tri Colour,T,6,Fletch
 HIGHTON ,Kelpie/Cross Breed Dog,Dog,Black/Tan,T,2,Roger
 HIGHTON ,Labradoodle,Dog,White/Cream,T,9,Charlie
 GEELONG WEST ,Cavalier KC Spaniel,Dog,Ruby,F,5,Max
 NEWTOWN ,Jack Russell/Cross,Dog,White/Tan,F,9,Brynn
 NEWTOWN ,Birman,Cat,Blue,T,18,Neko
 NEWTOWN ,Birman,Cat,Seal Point,T,18,Leia
 GEELONG WEST ,Labrador,Dog,Black/White,T,6,Larry
 BELMONT ,K.C.Spaniel,Dog,Blenheim,T,12,CoCoa
 BELMONT ,Labrador,Dog,Chocolate,T,4,Cocoa
 BELMONT ,Jack Russell/Cross,Dog,Tan/White,T,9,Buddy
 BELMONT ,Birman,Cat,Brown/Cream,T,15,Mortisha
 BELMONT ,Maltese Cross,Dog,White,T,15,Max
 GROVEDALE ,British/Short Haired,Cat,Black/White,T,12,Maggie
 GROVEDALE ,Cockerspaniel,Dog,Black,T,10,Oska
 WAURN PONDS ,Labrador,Dog,Black,T,3,Snooky
 HIGHTON ,Boxer/Kelpie,Dog,Black,T,,Molly
 HIGHTON ,British/Short Haired,Cat,Chocolate/Tabby,T,10,Merlin
 GROVEDALE ,Golden Retriever/Retriever,Dog,Golden,T,9,Max
 BELMONT ,Corgi/Jack Russell,Dog,Bone/White,T,11,Astro
 HIGHTON ,Bichon Frise,Dog,White,T,1,Marley
 HIGHTON ,Domestic,Cat,Tabby,T,2,Misty
 GROVEDALE ,Burmese,Cat,Brown,T,15,Jemma
 GROVEDALE ,Hungarian Vizsla,Dog,Golden,T,2,Jed
 HIGHTON ,Tonkinese,Cat,Brown,F,9,Sweet Georgia Brown
 NEWTOWN ,Domestic,Cat,White/Black,T,7,Milly
 BELMONT ,Jack Russell,Dog,White/Tan,T,9,Lily
 GROVEDALE ,Maltese/Shih Tzu,Dog,White,T,6,Usher
 GROVEDALE ,Australian Terrier,Dog,Black/Tan,F,12,Woofa
 NEWTOWN ,Domestic Short Haired,Cat,Grey/ White,T,7,Squeek
 GROVEDALE ,Domestic Short Haired,Cat,Champagne,T,1,Antonio
 HIGHTON ,Jack Russell,Dog,Tan/White,T,4,Barney
 GEELONG WEST ,Domestic Short Haired,Cat,Black/White,T,14,Sam
 INDENTED HEAD ,Domestic Short Haired,Cat,Tabby,F,13,Minimo
 NEWTOWN ,Jack Russell,Dog,White/Tan,T,11,Clyde
 NEWTOWN ,Jack Russell,Dog,White/Tan,T,11,Bonnie
 HIGHTON ,Burmese,Cat,Chocolate,T,2,Benji
 NEWTOWN ,Burmese,Cat,Brown,T,5,Khin
 NEWTOWN ,Domestic Short Haired,Cat,Tabby/White,F,15,Lily
 HIGHTON ,Miniature/Fox Terrier,Dog,White/Black,T,12,Millie
 GROVEDALE ,Fox Terrier/Cross,Dog,Tan/White,T,5,Annie
 NEWTOWN ,Cavalier KC Spaniel,Dog,Ruby,T,6,Hugo
 BELMONT ,Kelpie,Dog,Black/Tan,F,7,Boyo
 HIGHTON ,Bichon Frise,Dog,White,F,13,Trevor
 HIGHTON ,Domestic Long Haired,Cat,Black/White,T,11,Charlie
 NEWTOWN ,Domestic Long Haired,Cat,Tortishell/White,T,8,cleo
 BELMONT ,Ragdoll,Cat,Seal Point,T,8,Bridget
 GROVEDALE ,Dalmatian,Dog,White/Black,T,1,Barkley
 NEWTOWN ,Scottish Terrier,Dog,White,T,11,Milo
 NEWTOWN ,Domestic Long Haired,Cat,Black/Tortishell,T,2,Layla
 NEWTOWN ,Staffordshire,Dog,Tan/White,T,4,Layla
 BELMONT ,Cavalier KC Spaniel,Dog,Black/White,T,3,Charlie
 NEWTOWN ,Schnoodle,Dog,Black/White,T,6,Molly
 NEWTOWN ,Spoodle,Dog,Brown,F,4,Tom
 NEWTOWN ,Pug,Dog,Black,T,3,Albert
 NEWTOWN ,Cavalier KC Spaniel,Dog,Ruby,T,0,Elsa
 NEWTOWN ,Spoodle,Dog,Golden,T,3,Dexter
 NEWTOWN ,Labrador,Dog,Golden,T,11,Molly
 NEWTOWN ,Fox Terrier/Cross,Dog,White/Black,T,11,Rupert
 GROVEDALE ,Poodle/Cross,Dog,Black/White,T,8,Jemma
 NEWTOWN ,Siamese,Cat,White,F,3,Yogi
 MANIFOLD HEIGHTS ,Toy/Poodle,Dog,Silver,F,1,Jack
 NEWTOWN ,Cavalier KC Spaniel,Dog,Tri Colour,T,7,Archie
 NEWTOWN ,Jack Russell/Cross,Dog,Black/White,T,9,Jump
 NEWTOWN ,Staffordshire,Dog,Brindle,T,10,Stubby
 NEWTOWN ,Fox Terrier,Dog,White/Black,T,15,Bella
 NEWTOWN ,Fox Terrier,Dog,White/Black,T,11,Polly
 NEWTOWN ,Maltese Cross,Dog,Tan,T,3,Tanji
 NEWTOWN ,Groodle,Dog,Cream,F,5,Cooper
 NEWTOWN ,Labrador,Dog,Black,T,7,Archie
 NEWTOWN ,Bichon Frise/Cross,Dog,Grey/ White,T,10,Tom
 NEWTOWN ,Fox Terrier/Jack Russell,Dog,White/Brown,T,7,AJ
